Segment,Mean_L2,Std_L2,Max_L2,Min_L2
0.1-1,1.7385058345098515e-05,2.136743981815543e-06,2.1425579689093865e-05,1.5035459909995552e-05
1-1.5,2.130026950908359e-05,2.0479651330627628e-06,2.5319945052615367e-05,1.961198722710833e-05
1.5-2,2.3797065659891813e-05,2.1009778958578663e-06,2.7948588467552327e-05,2.2318237824947573e-05
2-2.5,2.627798712637741e-05,2.1851267960341027e-06,3.057495996472426e-05,2.4686149117769673e-05
2.5-3,2.873869707400445e-05,2.287587242688779e-06,3.318828748888336e-05,2.682037120393943e-05
3-3.5,3.118136519333348e-05,2.40594462008483e-06,3.580166230676696e-05,2.896818295994308e-05
3.5-4,3.360555783729069e-05,2.536039959203513e-06,3.841977013507858e-05,3.1129337003221735e-05
4-4.5,3.600780546548776e-05,2.672878004680304e-06,4.103709215996787e-05,3.3296335459453985e-05
4.5-5,3.838561169686727e-05,2.8118280094311705e-06,4.3644438846968114e-05,3.546096195350401e-05
