Segment,Mean_L2,Std_L2,Max_L2,Min_L2
0.1-1,2.8234406272531487e-05,6.53077870674784e-06,4.110540612600744e-05,2.3694057745160535e-05
1-1.5,2.758259252004791e-05,5.20648608890469e-06,3.774619472096674e-05,2.411097193544265e-05
1.5-2,2.9387572067207656e-05,5.054277335869587e-06,3.913532418664545e-05,2.6038387659355067e-05
2-2.5,3.1497084273723884e-05,4.898744130745222e-06,4.086964690941386e-05,2.807817145367153e-05
2.5-3,3.369234800629783e-05,4.689593464606097e-06,4.2629206291167066e-05,3.0288390917121433e-05
3-3.5,3.5908074642065914e-05,4.433890936762516e-06,4.4339274609228596e-05,3.2575266232015565e-05
3.5-4,3.812518043559976e-05,4.149635765261623e-06,4.5996381231816486e-05,3.4893884730990976e-05
4-4.5,4.033968652947806e-05,3.8546906810122965e-06,4.7619774704799056e-05,3.722306064446457e-05
4.5-5,4.255130043020472e-05,3.563186473369153e-06,4.923150481772609e-05,3.9549940993310884e-05
