Case,Resolution,Segment,Mean_L2,Std_L2,Max_L2,Min_L2
unseen,513,0.1-1,0.0001779094278026605,9.952930743581353e-05,0.0009393797372467816,6.597644824068993e-05
unseen,513,1-1.5,0.0002695641142054228,0.00013508021705971215,0.0012253376189619303,0.00011829217692138627
unseen,513,1.5-2,0.0014922291447874159,0.0007585969125770104,0.005179078318178654,0.0006338562816381454
unseen,513,2-2.5,0.00610416910611093,0.004035686100191503,0.027130410075187683,0.002476812805980444
unseen,513,2.5-3,0.01794146184809506,0.013561675124153037,0.08843256533145905,0.006100079044699669
unseen,513,3-3.5,0.0404615212790668,0.03200380826062189,0.20429427921772003,0.010810627602040768
unseen,513,3.5-4,0.0742915984801948,0.05972376533719127,0.372615784406662,0.017303455621004105
unseen,513,4-4.5,0.11836487462744116,0.09602519612873178,0.5837711691856384,0.025774477049708366
unseen,513,4.5-5,0.17210902005434037,0.14054832311780507,0.8302329182624817,0.03648761287331581
seen,513,0.1-1,0.00013834137054800523,5.1111103288048e-05,0.00031634143670089543,5.944356962572783e-05
seen,513,1-1.5,0.00023209661587316076,7.616287728984268e-05,0.0004495837783906609,0.0001019713090499863
seen,513,1.5-2,0.0014173736335942521,0.0004986549331801354,0.0027676059398800135,0.0006003706948831677
seen,513,2-2.5,0.0059398026461713015,0.0023974673319403653,0.013730006292462349,0.002195780398324132
seen,513,2.5-3,0.01755542429164052,0.007823758378757917,0.044137995690107346,0.0058241370134055614
seen,513,3-3.5,0.039503715336322784,0.018647215851113622,0.1031968966126442,0.012153265997767448
seen,513,3.5-4,0.07236117832362651,0.03585715136696113,0.2132820338010788,0.02130478248000145
seen,513,4-4.5,0.11501752071082592,0.05954314655431476,0.3767421841621399,0.03263033926486969
seen,513,4.5-5,0.16679292295128106,0.08981352650589365,0.5994958877563477,0.04590405896306038
