Timestep,Mean_L2,Std_L2,Max_L2,Min_L2
5,0.00019734394873012208,0.0003982502896133456,0.0029156780801713467,2.3638902348466218e-05
6,0.00027795426329248587,0.00042100762180825554,0.0028283605352044106,4.3212439777562395e-05
7,0.0003154268958678586,0.00039934644330257994,0.002674161223694682,5.900805626879446e-05
8,0.00033194343392096927,0.000363354115407638,0.002362254075706005,7.234062650240958e-05
9,0.00033975629390624817,0.0003271606550525611,0.0020566571038216352,8.429923764197156e-05
10,0.0003506883411318995,0.0003047680990455023,0.001876735594123602,9.608323307475075e-05
11,0.00036288354567659553,0.0002895616719415968,0.0017780858324840665,0.00010755943367257714
12,0.0003748894538875902,0.0002780142709836605,0.0017245213966816664,0.00011859057849505916
13,0.00038625413726549595,0.0002685920020101814,0.001694152713753283,0.0001291279768338427
14,0.0003970965280313976,0.00026078214830188595,0.001676670042797923,0.00013861757179256529
15,0.00040788270489429125,0.00025471689355176003,0.001669478602707386,0.00014422075764741749
16,0.000418801229679957,0.0002502333681115358,0.00167006254196167,0.0001496989862062037
17,0.00042987632667063736,0.000247046346785217,0.0016758335987105966,0.00015513357357122004
18,0.00044108561152825135,0.0002449016029310494,0.0016847812803462148,0.00016058457549661398
19,0.0004524123105511535,0.0002436178086936259,0.001695594284683466,0.0001660735288169235
20,0.00046385643872781657,0.0002430818453341425,0.0017076048534363508,0.00017162479343824089
21,0.00047542269254336134,0.00024320858721939322,0.0017204682808369398,0.00017725535144563764
22,0.00048710946197388693,0.00024392769133555758,0.0017339893383905292,0.00018297835777048022
23,0.0004989123469567858,0.00024517936321671814,0.0017480412498116493,0.00018879926938097924
24,0.000510825947712874,0.0002469072866691839,0.0017624894389882684,0.00019420219177845865
25,0.000522845038358355,0.00024906417650562285,0.0017772465944290161,0.00019971135770902038
26,0.0005349674390163272,0.00025161414131235233,0.0017922520637512207,0.00020359996415209025
27,0.0005471881874836982,0.00025452677648764733,0.001807461492717266,0.00020717880397569388
28,0.0005595011629338842,0.0002577727080128365,0.0018228385597467422,0.000210696438443847
29,0.0005718984825944062,0.00026132578400939844,0.001838367898017168,0.0002124022284988314
30,0.0005843701925186906,0.00026516844015211276,0.0018540917662903666,0.00021291320445016026
31,0.0005969047121470794,0.00026927972876111616,0.0018700159853324294,0.0002134437527274713
32,0.0006094890904205385,0.0002736392158467917,0.0018861626740545034,0.00021402475249487907
