Segment,Mean_L2,Std_L2,Max_L2,Min_L2
0.1-1,0.0006089552857156378,0.0002833284324117825,0.0019778527785092592,0.00021074690448585898
1-1.5,0.0010189010377507656,0.00048771019807127887,0.0024583288468420506,0.00033061971771530807
1.5-2,0.0013504350563744083,0.0007025826074112453,0.003426553448662162,0.00035839236807078123
2-2.5,0.0017059299832908436,0.0009421415758981002,0.0045494213700294495,0.0003368050092831254
2.5-3,0.0020764225666061974,0.0012086164185073078,0.00584980845451355,0.0004676921234931797
3-3.5,0.0024499902431853117,0.0015163804241643344,0.00740865059196949,0.0005535350646823645
3.5-4,0.0028390778572065754,0.0018710465060299906,0.009443298913538456,0.0005993329104967415
4-4.5,0.0032375450717518107,0.0022477145404572766,0.010978064499795437,0.0005971011705696583
4.5-5,0.0036017938371514903,0.0025996875684350727,0.013795776292681694,0.0005827400600537658
