Timestep,Mean_L2,Std_L2,Max_L2,Min_L2
5,9.09789813158568e-05,6.977047150889161e-05,0.00045311887515708804,2.2453215933637694e-05
6,0.00014548475181072718,9.300866282955233e-05,0.0005721190827898681,3.99642922275234e-05
7,0.00017894546312163584,9.966836641737514e-05,0.0005807181005366147,5.327151666278951e-05
8,0.00020165528723737225,0.00010070584335365466,0.0005655527347698808,6.42815139144659e-05
9,0.00021943702668068,0.00010036339838923645,0.0005583943566307425,7.435565930791199e-05
10,0.00023741843113384676,0.00010141350205218457,0.0005702647613361478,8.475204231217504e-05
11,0.00025508928760245906,0.00010310432205634192,0.0005873489426448941,9.530837996862829e-05
12,0.00027197188792342785,0.00010496581675249534,0.0006032123928889632,0.00010587864380795509
13,0.0002879657744051656,0.000106888667520472,0.0006163332145661116,0.00011639834701782092
14,0.00030319476092699916,0.00010893812825895049,0.000637454679235816,0.0001268697524210438
15,0.0003179055951477494,0.00011124364175308804,0.0006786248413845897,0.000137321199872531
16,0.0003322458996262867,0.00011387715990038674,0.0007178768282756209,0.00014775744057260454
17,0.00034629263696842825,0.00011686847574836741,0.0007552466122433543,0.00015807092131581157
18,0.0003600946492224466,0.00012022478716444946,0.00079079665010795,0.0001654677907936275
19,0.0003736923851829488,0.00012393696069729654,0.0008246058714576066,0.00017259061860386282
20,0.0003871248383074999,0.00012798898349533172,0.0008567708428017795,0.00017947726882994175
21,0.0004004240203357767,0.000132361429343647,0.0008874271297827363,0.00018614581495057791
22,0.00041361545605468565,0.00013702638352883009,0.0009167339885607362,0.00019264392904005945
23,0.00042671935967518947,0.00014195398984037752,0.000944830768276006,0.00019901055202353746
24,0.0004397460297332145,0.0001471169025482623,0.0009718331857584417,0.0002052273484878242
25,0.00045270274073118345,0.00015249085489663268,0.0009978575399145484,0.00021125767671037465
26,0.0004655959832598455,0.00015805350625919663,0.0010230294428765774,0.00021707602718379349
27,0.000478430332877906,0.00016378226961683267,0.001047430094331503,0.00022264903236646205
28,0.0004912096708721946,0.00016965859396519706,0.0010710612405091524,0.00022797049314249307
29,0.0005039372120518238,0.000175667607514684,0.0010939266066998243,0.00023303352645598352
30,0.0005166197860671673,0.00018179297979229058,0.0011160476133227348,0.00023787318787071854
31,0.0005292635723890271,0.00018801932676688424,0.0011374381138011813,0.0002425362035864964
32,0.000541871951718349,0.0001943364458511633,0.0011581000871956348,0.00024705452960915864
33,0.0005544491595355793,0.00020073672638470488,0.0011781296925619245,0.0002514660591259599
34,0.0005669964686967433,0.00020721032951963474,0.0011976159876212478,0.00025477606686763465
35,0.0005795142496936023,0.00021374937420819604,0.0012166432570666075,0.00025680058752186596
36,0.0005919973348500207,0.00022034853030971808,0.001235260278917849,0.00025868017110042274
37,0.0006044454651419073,0.00022700519471170234,0.0012535621644929051,0.000260421191342175
38,0.0006168578146025539,0.00023371477432426168,0.0012716596247628331,0.000262050045421347
39,0.0006292350028525107,0.00024047149853088887,0.001289551262743771,0.00026358291506767273
40,0.0006415777758229524,0.000247272572117112,0.0013072360306978226,0.0002650403475854546
41,0.0006538886277121492,0.0002541129494495516,0.0013246939051896334,0.0002664343628566712
42,0.000666172506462317,0.0002609867177257533,0.0013419135939329863,0.00026777965831570327
43,0.0006784337977296673,0.000267888415071854,0.0013615026837214828,0.00026904779952019453
44,0.0006906749695190229,0.000274814869432346,0.0013932881411165,0.0002702241181395948
45,0.0007028983923373744,0.00028176420915973103,0.0014246775535866618,0.0002712939749471843
46,0.000715105879062321,0.0002887358185470002,0.0014556272653862834,0.00027224214863963425
