Segment,Mean_L2,Std_L2,Max_L2,Min_L2
0.1-1,0.0005313794323592447,0.0001945074188632125,0.001080737099982798,0.00023234861146192998
1-1.5,0.0009307344059925526,0.0004161977970543773,0.0019694995135068893,0.0002718874311540276
1.5-2,0.0012337411296903156,0.0005975995744261432,0.00274726003408432,0.00025573119637556374
2-2.5,0.0015550305161741561,0.000784701768528093,0.0033869470935314894,0.00026807599351741374
2.5-3,0.001892864299879875,0.0009787104996767954,0.004709647502750158,0.000307741662254557
3-3.5,0.0022315191390225664,0.0011866168406806455,0.006350517738610506,0.0003519501769915223
3.5-4,0.002570313988835551,0.0014161745670485772,0.008332042954862118,0.0003921565948985517
4-4.5,0.0029163788360892797,0.001675904285629805,0.010705036111176014,0.0004268439661245793
4.5-5,0.0032676500000525265,0.0019988873505573045,0.01352756004780531,0.00045673223212361336
