Timestep,Mean_L2,Std_L2,Max_L2,Min_L2
5,0.0008630778279621154,0.0006419741934005933,0.005346851889044046,0.00035749663948081434
6,0.0015392451838124543,0.0012626969557942103,0.010528524406254292,0.000612728123087436
7,0.0020845441840356216,0.0018795574563750103,0.01566830277442932,0.0007543144165538251
8,0.0025525006605312227,0.0025103673881043385,0.020897500216960907,0.0008370816940441728
9,0.002973640137934126,0.003151769386096899,0.026181286200881004,0.000899466045666486
10,0.0033689496951410545,0.0037926336400869796,0.03140304237604141,0.0009412712533958256
11,0.0037464940978679806,0.004431278224568176,0.03654789552092552,0.0009797248058021069
12,0.004111136138672009,0.00506548612235305,0.04159725829958916,0.0010286314645782113
13,0.004465563654666767,0.005693792105619573,0.046536196023225784,0.0010799638694152236
14,0.004813097749138251,0.006315125997594704,0.05136075243353844,0.0011407427955418825
15,0.005156044162577018,0.006929828608206776,0.056077536195516586,0.0012147449888288975
16,0.005495643989415839,0.007538270296658117,0.06069407984614372,0.001293896697461605
17,0.005833399293478579,0.008140509747904503,0.06521749496459961,0.0013837208971381187
18,0.00616958222235553,0.008736888139005456,0.06965439021587372,0.0014787083491683006
19,0.006505241362610832,0.009327413742580106,0.07401078194379807,0.0015793087659403682
20,0.006840228185756132,0.00991237470333206,0.07829175889492035,0.001622096518985927
21,0.007175409864867106,0.010491705733291386,0.08250170946121216,0.0016456046141684055
22,0.0075105745054315776,0.011065700582194459,0.08664432913064957,0.0016742938896641135
23,0.007846211196156219,0.01163420312047444,0.09072257578372955,0.0017026581335812807
24,0.008181943958625197,0.012197529574923323,0.09473899751901627,0.00173969566822052
25,0.008518755086697638,0.012755296765150683,0.09869585186243057,0.0017830587457865477
26,0.008855780848534778,0.013307999349770722,0.10259503871202469,0.001826357445679605
27,0.009193214448168873,0.013855510094713091,0.10643824189901352,0.001877224538475275
28,0.00953148576663807,0.014397849709484519,0.11022702604532242,0.0019346510525792837
29,0.009870452445466072,0.01493505709194596,0.11396262794733047,0.0019919935148209333
30,0.01020983634982258,0.015467336149235213,0.11764619499444962,0.0020555532537400723
31,0.010549594946205616,0.01599480999176806,0.1212787851691246,0.0021255984902381897
32,0.010890300788450985,0.01651732522270854,0.12486124783754349,0.002195663983002305
