Segment,Mean_L2,Std_L2,Max_L2,Min_L2
0.1-1,0.007767337360419333,0.008703145444733414,0.054482415318489075,0.001653023762628436
1-1.5,0.016289803190156816,0.017435812244697906,0.10464996099472046,0.002684239763766527
1.5-2,0.028536987584084274,0.0237105671853201,0.1417650580406189,0.005489006172865629
2-2.5,0.06247492756694555,0.040072491785441505,0.23651348054409027,0.01615765690803528
2.5-3,0.15241571290418507,0.11774243759957773,0.795656144618988,0.029844732955098152
3-3.5,0.35912029780447485,0.3373458460350152,2.2821314334869385,0.04107806831598282
3.5-4,0.7761800696328283,0.831823010716499,5.678672790527344,0.04472498968243599
4-4.5,1.5291087436676025,1.8080591286874659,12.518150329589844,0.08655457198619843
4.5-5,2.760995034277439,3.5517635831214216,24.89217185974121,0.2191367745399475
