Timestep,Mean_L2,Std_L2,Max_L2,Min_L2
10,0.007063148487359286,0.00023944190926509894,0.007701544556766748,0.006364115979522467
11,0.007911071362905205,0.00027662886668545654,0.008680596016347408,0.007140269037336111
12,0.009470032984390855,0.00033829602295255037,0.010464419610798359,0.008581055328249931
13,0.010996242258697749,0.0004037428179346075,0.012199079617857933,0.009951138868927956
14,0.012138899397104979,0.00045696288868441387,0.013503697700798512,0.01093327347189188
15,0.012997819585725665,0.0005048735904011518,0.014483862556517124,0.011652824468910694
16,0.013450053436681628,0.0005412585911176821,0.01500685140490532,0.012016521766781807
17,0.013894539931789041,0.0005810498676180986,0.015522928908467293,0.012375857681035995
18,0.014170197919011116,0.00061715187171837,0.015847615897655487,0.01259370893239975
19,0.014348224801942706,0.000653291985364442,0.016063498333096504,0.012728222645819187
20,0.014464482385665178,0.0006868715789972899,0.016218673437833786,0.012818052433431149
21,0.014535343600437045,0.0007186417192578849,0.016328366473317146,0.012871944345533848
22,0.014580300506204368,0.0007492697180288219,0.01641424000263214,0.012836324982345104
23,0.014605048736557364,0.0007783016696450509,0.016484759747982025,0.012796672061085701
24,0.014623390920460224,0.000806424958559,0.016554012894630432,0.012765532359480858
25,0.014637762419879437,0.0008331922836885729,0.016624288633465767,0.012743491679430008
26,0.014649954726919531,0.0008589805086846491,0.01669616438448429,0.012731315568089485
27,0.014660569969564677,0.0008834376264813215,0.016768043860793114,0.012727349065244198
28,0.014669781886041164,0.0009067755462728269,0.01683954894542694,0.012729833833873272
29,0.014677076265215874,0.0009283672007969188,0.016909653320908546,0.012725706212222576
30,0.014682666454464198,0.0009497592004445611,0.016976257786154747,0.01272472832351923
31,0.014685683250427246,0.0009699868089654591,0.017039412632584572,0.012727686204016209
32,0.014684795523062349,0.0009903375614336155,0.017095087096095085,0.012730381451547146
33,0.014679815163835883,0.001009680397761777,0.0171443372964859,0.012733166106045246
34,0.014670351957902313,0.001028704056636113,0.01721099391579628,0.012733299285173416
35,0.014655593894422054,0.001047095382115376,0.01729005016386509,0.012682748958468437
36,0.014636396206915378,0.0010648218829561213,0.01735660992562771,0.012609140016138554
37,0.01461191551759839,0.0010826748520205913,0.01741999015212059,0.012534881941974163
38,0.014583952464163304,0.0011003233448273137,0.017473436892032623,0.012459475547075272
39,0.014552505100145935,0.0011182810700568785,0.017520077526569366,0.012382934801280499
40,0.014517753645777702,0.0011364989080711037,0.017562009394168854,0.01230563409626484
41,0.014480450833216309,0.0011546625710513888,0.017591290175914764,0.012226567603647709
42,0.014440004248172045,0.0011736380833742691,0.017618486657738686,0.012146731838583946
43,0.014397927708923817,0.0011926881247049624,0.017635557800531387,0.012065693736076355
44,0.014354658564552664,0.0012126043699231814,0.017645927146077156,0.011983819305896759
45,0.014310705522075296,0.0012331895145377715,0.017654329538345337,0.011901752091944218
46,0.014267088947817683,0.0012548980667241344,0.01765351928770542,0.011818748898804188
47,0.01422340800985694,0.0012778377518352841,0.017656218260526657,0.011736270971596241
48,0.014180827736854553,0.0013016874388068144,0.01772346906363964,0.011653844267129898
49,0.014139328459277749,0.0013269126167820909,0.0178880225867033,0.011571956798434258
50,0.014098961297422647,0.0013528056504114399,0.018059777095913887,0.011491343379020691
51,0.014060654370114207,0.0013802664457721872,0.018245309591293335,0.011410864070057869
52,0.014023724952712655,0.0014087448002218655,0.018430477008223534,0.011332347057759762
53,0.013989390507340431,0.0014383938456860644,0.018627528101205826,0.011254880577325821
54,0.013957306947559119,0.0014694724686725217,0.018825503066182137,0.011179069057106972
55,0.01392792234197259,0.001501159297975661,0.019023960456252098,0.011105842888355255
56,0.013901179004460574,0.0015343481011850673,0.01923692226409912,0.011033333837985992
57,0.013876723786816002,0.0015681266130235067,0.019440514966845512,0.010964272543787956
58,0.013855041237547994,0.0016025216112971984,0.019656214863061905,0.010896706953644753
59,0.01383575047366321,0.0016381008904470767,0.01986789144575596,0.010831492953002453
60,0.013819322809576989,0.0016735887364676505,0.020075783133506775,0.010770168155431747
61,0.013805564576759934,0.0017103719380579697,0.020299004390835762,0.01070491410791874
62,0.013794216671958565,0.0017470570660356043,0.020504897460341454,0.01064282562583685
63,0.013785686092451215,0.0017843101860924014,0.02072182483971119,0.010581540875136852
64,0.013779094479978084,0.0018217664535486436,0.02093016356229782,0.010523149743676186
