time_step,time,test_unseen_mean,test_seen_mean
126,6.300000000000001,0.10530492,0.10358517
127,6.3500000000000005,0.11811564,0.1158196
128,6.4,0.107084334,0.105320886
129,6.45,0.12016529,0.11782864
130,6.5,0.10885948,0.10705172
131,6.550000000000001,0.122229375,0.11985252
132,6.6000000000000005,0.11063014,0.10877741
133,6.65,0.124307744,0.12189128
134,6.7,0.11239579,0.11049758
135,6.75,0.12640052,0.123945
136,6.800000000000001,0.114156134,0.112212
137,6.8500000000000005,0.12850752,0.12601362
138,6.9,0.1159109,0.11392052
139,6.95,0.13062878,0.12809727
140,7.0,0.11765985,0.115622856
141,7.050000000000001,0.1327643,0.13019592
142,7.1000000000000005,0.11940277,0.11731891
143,7.15,0.13491383,0.13230962
144,7.2,0.121139295,0.11900854
145,7.25,0.13707756,0.13443829
146,7.300000000000001,0.122869484,0.12069168
147,7.3500000000000005,0.13925543,0.13658208
148,7.4,0.12459304,0.1223683
149,7.45,0.14144728,0.13874102
150,7.5,0.12630993,0.12403832
151,7.550000000000001,0.14365323,0.14091514
152,7.6000000000000005,0.12802006,0.12570183
153,7.65,0.14587313,0.14310437
154,7.7,0.12972334,0.12735887
155,7.75,0.14810714,0.14530884
156,7.800000000000001,0.13141988,0.12900943
157,7.8500000000000005,0.15035495,0.14752851
158,7.9,0.13310957,0.13065368
159,7.95,0.15261675,0.14976357
160,8.0,0.13479249,0.13229167
161,8.05,0.15489262,0.15201381
162,8.1,0.13646872,0.13392362
163,8.15,0.1571822,0.15427937
164,8.200000000000001,0.1381383,0.13554956
165,8.25,0.15948573,0.15656033
166,8.3,0.13980135,0.13716985
167,8.35,0.16180311,0.15885659
168,8.4,0.14145799,0.1387846
169,8.450000000000001,0.1641343,0.16116823
170,8.5,0.14310838,0.14039405
171,8.55,0.16647932,0.16349529
172,8.6,0.14475262,0.14199838
173,8.65,0.16883811,0.16583768
174,8.700000000000001,0.14639103,0.14359796
175,8.75,0.17121069,0.16819555
176,8.8,0.14802375,0.14519301
177,8.85,0.17359708,0.17056875
178,8.9,0.14965093,0.14678377
179,8.950000000000001,0.17599708,0.17295735
180,9.0,0.15127288,0.14837056
181,9.05,0.17841089,0.17536141
182,9.1,0.15288977,0.14995365
183,9.15,0.18083824,0.17778084
184,9.200000000000001,0.15450196,0.15153344
185,9.25,0.18327944,0.18021561
186,9.3,0.15610962,0.15311016
187,9.35,0.18573418,0.18266587
188,9.4,0.15771306,0.15468419
189,9.450000000000001,0.1882026,0.18513137
190,9.5,0.15931255,0.15625577
191,9.55,0.19068466,0.18761228
192,9.600000000000001,0.16090639,0.15782331
193,9.65,0.19317976,0.1901079
194,9.700000000000001,0.16249712,0.1593895
195,9.75,0.1956885,0.19261897
196,9.8,0.16408491,0.16095439
197,9.850000000000001,0.19821091,0.19514532
198,9.9,0.16567017,0.16251835
199,9.950000000000001,0.20074694,0.19768697
200,10.0,0.16725315,0.16408171
201,10.05,0.20329657,0.20024395
202,10.100000000000001,0.16883406,0.16564484
203,10.15,0.20585984,0.20281607
204,10.200000000000001,0.17041332,0.167208
205,10.25,0.20843667,0.20540342
206,10.3,0.1719911,0.16877146
207,10.350000000000001,0.21102694,0.20800585
208,10.4,0.1735679,0.17033559
209,10.450000000000001,0.21363087,0.21062335
210,10.5,0.17514387,0.1719008
211,10.55,0.21624829,0.21325596
212,10.600000000000001,0.1767194,0.1734673
213,10.65,0.21887928,0.21590354
214,10.700000000000001,0.17829475,0.17503546
215,10.75,0.2215237,0.21856603
216,10.8,0.17987026,0.17660548
217,10.850000000000001,0.22418179,0.22124347
218,10.9,0.18144634,0.17817788
219,10.950000000000001,0.22685324,0.22393578
220,11.0,0.18302317,0.17975271
221,11.05,0.22953825,0.22664295
222,11.100000000000001,0.18460108,0.18133038
223,11.15,0.23223661,0.22936475
224,11.200000000000001,0.1861804,0.18291113
225,11.25,0.23494858,0.23210132
226,11.3,0.18776143,0.18449536
227,11.350000000000001,0.23767391,0.23485261
228,11.4,0.18934448,0.1860831
229,11.450000000000001,0.24041276,0.2376185
230,11.5,0.19092977,0.18767487
231,11.55,0.24316487,0.24039888
232,11.600000000000001,0.19251761,0.18927075
233,11.65,0.24593048,0.24319384
234,11.700000000000001,0.1941084,0.19087106
235,11.75,0.2487094,0.24600321
236,11.8,0.19570222,0.19247608
237,11.850000000000001,0.25150168,0.24882703
238,11.9,0.1972994,0.19408599
239,11.950000000000001,0.2543072,0.25166512
240,12.0,0.1989003,0.19570099
241,12.05,0.257126,0.2545175
242,12.100000000000001,0.200505,0.19732122
243,12.15,0.2599581,0.25738418
244,12.200000000000001,0.20211397,0.19894715
245,12.25,0.26280332,0.2602649
246,12.3,0.2037272,0.20057867
247,12.350000000000001,0.2656617,0.2631598
248,12.4,0.2053451,0.2022162
249,12.450000000000001,0.26853314,0.26606867
250,12.5,0.20696788,0.20385982
251,12.55,0.27141765,0.2689915
252,12.600000000000001,0.20859557,0.20550965
253,12.65,0.27431512,0.27192834
254,12.700000000000001,0.21022858,0.2071661
255,12.75,0.27722555,0.2748788
256,12.8,0.21186708,0.20882893
257,12.850000000000001,0.28014877,0.2778431
258,12.9,0.21351108,0.21049874
259,12.950000000000001,0.28308496,0.2808211
260,13.0,0.21516103,0.21217537
261,13.05,0.28603366,0.28381264
262,13.100000000000001,0.21681704,0.21385908
263,13.15,0.28899506,0.2868177
264,13.200000000000001,0.21847908,0.2155499
265,13.25,0.291969,0.28983617
266,13.3,0.22014761,0.21724804
267,13.350000000000001,0.2949556,0.2928679
268,13.4,0.22182259,0.21895365
269,13.450000000000001,0.29795447,0.2959129
270,13.5,0.22350414,0.2206668
271,13.55,0.3009657,0.29897115
272,13.600000000000001,0.22519249,0.22238751
273,13.65,0.30398926,0.30204225
274,13.700000000000001,0.22688766,0.22411591
275,13.75,0.30702493,0.30512646
276,13.8,0.22858995,0.2258522
277,13.850000000000001,0.31007272,0.30822343
278,13.9,0.23029934,0.22759634
279,13.950000000000001,0.31313264,0.31133327
280,14.0,0.23201595,0.22934833
281,14.05,0.3162043,0.31445557
282,14.100000000000001,0.23373985,0.23110837
283,14.15,0.3192879,0.31759036
284,14.200000000000001,0.2354712,0.23287655
285,14.25,0.32238328,0.3207378
286,14.3,0.23721,0.23465285
287,14.350000000000001,0.32549012,0.3238974
288,14.4,0.23895657,0.23643726
289,14.450000000000001,0.32860866,0.32706925
290,14.5,0.24071062,0.23822984
291,14.55,0.3317387,0.3302531
292,14.600000000000001,0.24247235,0.2400307
293,14.65,0.33487996,0.33344898
294,14.700000000000001,0.24424198,0.24183977
295,14.75,0.33803257,0.33665675
296,14.8,0.2460193,0.24365717
297,14.850000000000001,0.34119642,0.33987635
298,14.9,0.24780464,0.24548279
299,14.950000000000001,0.34437135,0.34310758
300,15.0,0.24959776,0.2473167
