Resolution,Mean_L2,Std_L2,Min_L2,Median_L2,Max_L2,Mean_PDE_Pred,Std_PDE_Pred,Mean_PDE_True,Std_PDE_True
1x,3.389401802451175e-05,3.289591072438079e-05,1.093780156224966e-05,2.362229224672774e-05,0.0002011792967095971,0.19020660802721978,8.162035897116638e-06,0.1902026541531086,1.6809016762332028e-06
2x,2.8234395354047593e-05,3.568851639475302e-05,4.496607743931236e-06,1.444905956304865e-05,0.00020638066052924842,0.18317122265696525,7.571220924142349e-06,0.18316996693611146,8.817962799369658e-07
4x,7.774669255013578e-05,3.435414305556502e-05,3.362115967320278e-05,7.167970761656761e-05,0.0002131127257598564,0.17219234853982926,7.162212551932735e-06,0.17217833265662194,1.8194915806958855e-07
