Resolution,BC_a,BC_b,BC_c,BC_d,L2_Error,PDE_Error_Pred,PDE_Error_True
4x,-0.5,0.5,0.0,0.0,3.362115967320278e-05,0.1721932590007782,0.17217814922332764
4x,-0.5,0.5,0.0,0.0,9.327587758889422e-05,0.17218974232673645,0.17217852175235748
4x,-0.5,0.5,0.0,0.0,7.464695227099583e-05,0.1721900850534439,0.17217862606048584
4x,-0.5,0.5,0.0,0.0,5.780673018307425e-05,0.17218999564647675,0.17217837274074554
4x,-0.5,0.5,0.0,0.0,0.0001149538074969314,0.17219340801239014,0.17217865586280823
4x,-0.5,0.5,0.0,0.0,0.00011346485553076491,0.1721915751695633,0.17217834293842316
4x,-0.5,0.5,0.0,0.0,5.1886923756683245e-05,0.17218820750713348,0.17217817902565002
4x,-0.5,0.5,0.0,0.0,7.25737918401137e-05,0.17219308018684387,0.17217861115932465
4x,-0.5,0.5,0.0,0.0,7.155570347094908e-05,0.17218610644340515,0.1721784919500351
4x,-0.5,0.5,0.0,0.0,4.221846756990999e-05,0.17219498753547668,0.17217838764190674
4x,-0.5,0.5,0.0,0.0,5.077841706224717e-05,0.1721896529197693,0.17217834293842316
4x,-0.5,0.5,0.0,0.0,5.467249866342172e-05,0.1721884161233902,0.17217861115932465
4x,-0.5,0.5,0.0,0.0,6.639570347033441e-05,0.17218898236751556,0.17217837274074554
4x,-0.5,0.5,0.0,0.0,0.00018477885168977082,0.1722111999988556,0.1721784770488739
4x,-0.5,0.5,0.0,0.0,4.200636612949893e-05,0.17218807339668274,0.1721782386302948
4x,-0.5,0.5,0.0,0.0,8.672685362398624e-05,0.17218691110610962,0.17217855155467987
4x,-0.5,0.5,0.0,0.0,9.625707025406882e-05,0.1721954345703125,0.1721782684326172
4x,-0.5,0.5,0.0,0.0,0.00016699392290320247,0.17222148180007935,0.172178715467453
4x,-0.5,0.5,0.0,0.0,0.00010691913485061377,0.17219169437885284,0.17217817902565002
4x,-0.5,0.5,0.0,0.0,4.062842344865203e-05,0.17219142615795135,0.17217829823493958
4x,-0.5,0.5,0.0,0.0,4.986543717677705e-05,0.1721871942281723,0.1721784919500351
4x,-0.5,0.5,0.0,0.0,6.797276728320867e-05,0.1721958965063095,0.1721787452697754
4x,-0.5,0.5,0.0,0.0,7.935204484965652e-05,0.17219047248363495,0.1721782684326172
4x,-0.5,0.5,0.0,0.0,8.858586807036772e-05,0.172184020280838,0.1721782684326172
4x,-0.5,0.5,0.0,0.0,6.356101221172139e-05,0.17219668626785278,0.1721782684326172
